;14-3-3 + Partner
2.7e-08;24.9387712792761
2.978104448988648e-08;25.000679490266513
3.284854114476291e-08;25.068867029564036
3.6231995009631544e-08;25.143959863210707
3.9963950197747515e-08;25.226644013627002
4.4080302919656565e-08;25.317670818400853
4.862064675473949e-08;25.41786253996667
5.362865348629455e-08;25.52811832431177
5.915249316326104e-08;25.64942049950382
6.524529742899202e-08;25.78284119552698
7.196567057365515e-08;25.929549255290635
7.937825322587185e-08;26.0908173923347
8.75543441055247e-08;26.268029533270592
9.657258581812827e-08;26.46268826190502
1.0651972128715039e-07;26.676422256823216
1.1749142810010875e-07;26.910993584491326
1.295932387936904e-07;27.168304675243014
1.4294155592975478e-07;27.45040476949075
1.5766477172583806e-07;27.759495575929662
1.7390450300944383e-07;28.097935832370908
1.9181695337466103e-07;28.468244403445908
2.11574415643158e-07;28.873101488472397
2.3336692908113436e-07;29.315347448535196
2.5740410731235005e-07;29.79797869629018
2.8391715450920806e-07;30.32414002802068
3.13161089254841e-07;30.897112719001825
3.4541719746665695e-07;31.520297655439585
3.809957379750535e-07;32.19719274569839
4.2023892678119295e-07;32.93136384819664
4.6352422869825425e-07;33.72640848259377
5.112679880371496e-07;34.58591166521968
5.63929433258856e-07;35.51339334029753
6.220150941125361e-07;36.51224707648225
6.860836737461622e-07;37.58566997347961
7.567514226525642e-07;38.736584083214666
8.346980661407749e-07;39.96755009681373
9.206733423466906e-07;41.280674578484124
1.0155042136696039e-06;42.677512627253805
1.1201028209985832e-06;44.15896849360428
1.2354752572372662e-06;45.72519733416196
1.3627312445161852e-06;47.3755119051647
1.5030948081738858e-06;49.1082985146206
1.6579160501757005e-06;50.92094690651535
1.8286841352140536e-06;52.809798868824636
2.0170416143984946e-06;54.77012017729318
2.2248002243094104e-06;56.79609996146441
2.453958313380297e-06;58.880880686455725
2.706720063226129e-06;61.01662069609799
2.9855166898002135e-06;63.194589713097145
3.293029828305142e-06;65.40529593367668
3.6322173267881024e-06;67.6386415173813
4.006341696519004e-06;69.88410151124567
4.4190014928044385e-06;72.13091972249826
4.874165928077181e-06;74.36831391372151
5.376213050190943e-06;76.58568205449868
5.9299718531424034e-06;78.77280129049599
6.540768725266987e-06;80.9200117923192
7.214478681675348e-06;83.01837867008403
7.957581873715233e-06;85.05982658091295
8.777225919001028e-06;87.03724337361616
9.68129465153908e-06;88.94455094776595
1.0678483953229096e-05;90.77674329575296
1.1778385396135364e-05;92.52989330914158
1.299157850004951e-05;94.20113126110816
1.4329732492734351e-05;95.78859886169322
1.5805718551640516e-05;97.29138339966123
1.743373360670484e-05;98.70943674785399
1.922943689504098e-05;100.04348395999753
2.1210100580988164e-05;101.29492588614582
2.3394775890273237e-05;102.46573974987342
2.580447635626487e-05;103.5583810314945
2.846237994089439e-05;104.5756893500858
3.139405197436404e-05;105.52080038457832
3.462769105801277e-05;106.39706525997222
3.819440029558235e-05;107.20797827566642
4.212848646175082e-05;107.95711338452472
4.646778998551787e-05;108.64806944972254
5.1254048922422605e-05;109.28442401046243
5.653330041649953e-05;109.86969507111165
6.235632351347747e-05;110.40731028179009
6.877912758446773e-05;110.90058279103081
7.58634910580968e-05;111.35269301158472
8.367755564293659e-05;111.76667553801424
9.229648175582401e-05;112.1454104797446
0.00010180317146037751;112.49161851736704
0.00011228906586937222;112.80785904633181
0.00012385502468087299;113.09653083510986
0.00013661229630803961;113.35987469058904
0.00015068358793389946;113.59997768781841
0.00016620424578352538;113.81877858368608
0.00018332355696619264;114.01807409130221
0.0002022061854094232;114.1995257445406
0.00022303375569660287;114.36466712917714
0.0002460066000424818;114.51491129847113
0.0002713456852100321;114.65155822691939
0.00029929473790291496;114.77580218701942
0.00033012258907687525;114.88873896002798
0.0003641257597190719;114.99137281385387
0.00040163131296694094;115.08462319934992
0.000443;115.16933113195829
