;cTnI
1e-12;952.375850006972
1.1233240329780266e-12;1069.811471732815
1.2618568830660185e-12;1201.7257457636108
1.4174741629268076e-12;1349.9031952997864
1.5922827933410938e-12;1516.3481451994016
1.7886495290574352e-12;1703.311757362964
2.009233002565046e-12;1913.3223815354718
2.257019719633917e-12;2149.219625505968
2.5353644939701167e-12;2414.1925972267763
2.848035868435805e-12;2711.822825569047
3.1992671377973843e-12;3046.1324268885483
3.5938136638046255e-12;3421.638151957386
4.03701725859655e-12;3843.4120228408724
4.534878508128591e-12;4317.149352730984
5.094138014816385e-12;4849.245034407011
5.72236765935022e-12;5446.87908574257
6.428073117284319e-12;6118.11255441167
7.220809018385456e-12;6871.995009583342
8.111308307896857e-12;7718.684986853706
9.111627561154906e-12;8669.58490483181
1.0235310218990269e-11;9737.492138500063
1.1497569953977356e-11;10936.768116404126
1.2915496650148827e-11;12283.52750640708
1.4508287784959372e-11;13795.849768383683
1.6297508346206468e-11;15494.015581652717
1.8307382802953698e-11;17400.770899390987
2.0565123083486514e-11;19541.6216402133
2.310129700083158e-11;21945.162295992293
2.595024211399732e-11;24643.442010889692
2.91505306282517e-11;27672.371963779435
3.2745491628777315e-11;31072.17815673788
3.6783797718286346e-11;34887.90396505239
4.132012400115335e-11;39169.96702446947
4.641588833612773e-11;43974.775199543255
5.214008287999674e-11;49365.40646728813
5.857020818056673e-11;55412.35752960278
6.579332246575682e-11;62194.3657934041
7.390722033525775e-11;69799.30897472739
8.302175681319735e-11;78325.18592352484
9.32603346883218e-11;87881.18124352886
1.0476157527896662e-10;98588.81478935556
1.176811952434999e-10;110583.17502914785
1.3219411484660286e-10;124014.23240432057
1.4849682622544634e-10;139048.22500322602
1.6681005372000558e-10;155869.10385923792
1.8738174228603868e-10;174680.0187096232
2.104904144512022e-10;195704.81678805305
2.364489412645407e-10;219189.51680320635
2.656087782946684e-10;245403.7072685021
2.983647240283334e-10;274641.8023505495
3.351602650938848e-10;307224.06893885735
3.7649358067924715e-10;343497.31526675983
4.229242874389499e-10;383835.1037614321
4.750810162102793e-10;428637.3186405324
5.336699231206302e-10;478328.88212780404
5.994842503189421e-10;533357.3724547151
6.734150657750828e-10;594189.2530774086
7.564633275546291e-10;661304.3776560631
8.497534359086438e-10;735188.3923853382
9.545484566618328e-10;816322.620853031
1.0722672220103253e-09;905170.9933254269
1.2045035402587836e-09;1002163.5811600123
1.3530477745798075e-09;1107676.32954765
1.519911082952933e-09;1222006.662339541
1.7073526474706886e-09;1345344.7781873436
1.9179102616724926e-09;1477740.6857529553
2.1544346900318866e-09;1619067.3552641817
2.4201282647943836e-09;1768980.8081119976
2.71858824273294e-09;1926878.5311618345
3.0538555088334124e-09;2091858.2786862876
3.430469286314926e-09;2262680.080651152
3.853528593710519e-09;2437735.0496451077
4.328761281083061e-09;2615025.2719571595
4.862601580065353e-09;2792159.545477019
5.462277217684337e-09;2966369.821848439
6.135907273413163e-09;3134552.744566178
6.892612104349681e-09;3293339.4919635523
7.742636826811278e-09;3439195.1456625154
8.697490026177834e-09;3568546.0433758697
9.770099572992246e-09;3677930.2336898088
1.0974987654930568e-08;3764162.628642264
1.232846739442066e-08;3824503.2570264325
1.3848863713938718e-08;3856814.8309136042
1.5556761439304723e-08;3859695.17563858
1.747528400007683e-08;3832571.338004967
1.9630406500402724e-08;3775745.3962614
2.2051307399030457e-08;3690386.788446968
2.477076355991709e-08;3578471.6385490177
2.782559402207126e-08;3442675.1537350994
3.1257158496882355e-08;3286227.840576887
3.5111917342151277e-08;3112749.219052419
3.944206059437656e-08;2926073.751848357
4.4306214575838774e-08;2730082.7489047684
4.977023564332114e-08;2528553.5667150696
5.5908101825122226e-08;2325034.0547999195
6.280291441834247e-08;2122746.589130344
7.054802310718646e-08;1924522.417645556
7.92482898353917e-08;1732765.1653466313
8.902150854450392e-08;1549438.7535772123
1e-07;1376076.0537069293
